,CaseNum,osmid_node,distance,street_count,highway_node,name_u,highway_u,name_v,highway_v,Mode,IncidentAddress,CrossStreets,GeocodeAddress
48,19-02581,90349352.0,106.02250035327398,3.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
49,19-02581,90349352.0,106.02250035327398,3.0,,"['Princeton Street', 'Silica Avenue']",residential,"['Princeton Street', 'Silica Avenue']",residential,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
50,19-02581,90349352.0,106.02250035327398,3.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Motorcyclist,"El Camino Ave and Princeton St, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'princeton street']","el camino avenue & princeton street, Sacramento, CA 95815"
51,19-02809,90336809.0,49.84826831006015,4.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
52,19-02809,90336809.0,49.84826831006015,4.0,,Center Parkway,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
53,19-02809,1792494848.0,2.9043941362833725,4.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
54,19-02809,1792494848.0,2.9043941362833725,4.0,,Center Parkway,tertiary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
55,19-02809,3584498615.0,83.15503890480291,4.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
56,19-02809,3584498615.0,83.15503890480291,4.0,,Center Parkway,tertiary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
57,19-02809,3584498618.0,52.17836711477863,4.0,,Mack Road,secondary,,,Pedestrian,"Mack Road 8 feet west of Center Pkwy., Sacramento, Sacramento, CA, 95823","['mack road', 'center pkwy']","mack road & center pkwy, Sacramento, CA 95823"
