,CaseNum,osmid,distance
0,21-07256,10292833917,169.34849074574646
0,21-07281,90583706,2.823119703521828
0,21-07283,90583706,2.823119703521828
0,21-07329,90302947,12.29011130659753
0,21-07423,90290152,135.48427195044488
0,21-07423,4914775668,93.08671925262946
0,21-07680,90438674,11.339025045835966
0,21-08175,90346490,7.061632986139936
0,21-08426,90539518,3.8900126100705825
0,21-08474,90297523,77.28289325856211
0,21-08474,90642443,1.177393765364858
0,22-00128,90624046,90.87187238486779
0,22-00128,3262602575,47.12488054149262
0,22-00128,3262602599,2.464783183073488
0,22-00337,90610827,3.7675034317067713
0,22-00518,90394287,10.826095180245947
0,22-00518,3257774409,180.31073143386143
0,22-00518,3257774410,133.5126005338052
0,22-00518,3257774411,43.260773667038066
0,22-00800,90302905,13.438108572251707
0,22-01151,90742136,4.453470105986427
0,22-01192,90515648,4.332512456136037
0,22-01192,9554891354,81.9006155738476
0,22-01572,90349636,43.70325716871953
0,22-01572,4275359073,6.215428925855876
0,22-02056,90523963,7.112651151287029
0,22-02309,4911333978,3.267259803187223
0,22-03093,90755482,20.444299993223257
0,22-03093,5577994493,26.178373351191116
0,22-03243,90380363,5.818348235405794
0,22-03243,90729594,110.14709621520026
0,22-03591,90429598,134.6510846127459
0,22-03591,90694599,129.14870479307757
0,22-03901,90431558,186.87659085030253
0,22-03901,6413289441,13.645543877003526
0,22-03901,6413289442,54.25777703829611
0,22-04160,90340403,126.74392696328806
0,22-04327,90319935,6.956327950350293
0,22-04327,90319937,190.6240599961276
0,22-04327,90419882,196.4438646970578
0,22-04541,90302940,2.5430836102635346
0,22-04600,90462407,118.88316543001562
0,22-04600,90462409,4.508672494360415
0,22-04680,90367765,7.125433310555262
0,22-04680,90488308,185.04344108067767
0,22-05050,90472121,1.4194490733052147
0,22-05189,90612707,46.03259985231804
0,22-05189,3396981824,2.124340554669468
0,22-05593,90290254,2.478008442681256
0,22-06108,90442122,52.45135285780702
0,22-06108,4937260846,23.014735696740452
0,22-06303,90435774,196.29885344715873
0,22-06303,90536580,6.4435795213842075
0,22-06330,90533143,37.89043291275542
0,22-06330,4939758238,2.4749104442146357
0,22-06368,90343713,1.4891964270737452
0,22-06521,90616952,6.110989842891691
0,22-06531,90298061,14.801089559336853
0,22-06531,1792494863,42.25553122074283
0,22-06694,2103280078,11.018577300138643
0,22-06714,90431515,32.91436466034179
0,22-06741,90399312,5.0415373085789446
0,22-06974,90290140,194.72556867532347
0,22-06974,90290142,79.84595111124409
0,22-07576,3921102753,46.811010631525306
0,22-07576,6917349878,77.68530758644916
0,22-07576,9792266691,5.543482528427103
0,22-07576,9792266692,60.582486541076946
0,22-07576,3921103478,5.100551511053751
0,22-07576,6917349907,49.99406459575525
0,22-07576,9792266694,43.793187494221286
0,22-07576,9792266695,66.18181126722462
0,23-00040,90634089,91.74886634101766
0,23-01103,90619356,10.74233875013085
0,23-01264,90443149,3.3756936193153564
0,23-01332,90466423,4.111607586813724
0,23-01459,90431573,15.607482678728777
0,23-01562,90264496,9.797422433527439
0,23-01562,90557843,192.70532941020917
0,23-01565,90288559,114.67653190563986
0,23-01565,90288675,4.221795133337283
0,23-01848,90526351,3.491930206789589
0,23-02196,90330717,7.467789096941364
0,23-02297,980034993,41.62898601809989
0,23-02297,982991746,46.3563939883554
0,23-02323,90455360,8.081723137579353
0,23-02357,90346603,17.32323666440706
0,23-02357,3448341770,45.58930472580433
0,23-02357,7016811338,49.02647801871268
0,23-02357,7016811339,25.775195870936464
0,23-02425,90346603,17.32323666440706
0,23-02425,3448341770,45.58930472580433
0,23-02425,7016811338,49.02647801871268
0,23-02425,7016811339,25.775195870936464
0,23-02916,90302451,1.6908438843394955
0,23-03073,90302451,1.6908438843394955
0,23-03113,90552592,117.78911652944977
0,23-03113,90678541,28.306745806387784
0,23-03113,8678552759,110.97079742249203
0,23-03113,9038136364,18.64274980264414
0,23-03113,9038136365,29.094765946890096
0,23-03732,90342948,46.72428255974756
0,23-03732,90722382,89.87678695780778
0,23-03732,3584498639,5.725012046554378
0,23-03748,90431568,120.85520300454196
0,23-03748,90431570,4.719172232722805
0,23-03751,90438612,16.726878559767183
0,23-04149,90576551,130.13349851877882
0,23-04149,90576607,7.9139061080455155
0,23-04150,90501662,191.33684209602654
0,23-04283,90394202,154.14580369517319
0,23-04283,90504818,165.62252733022748
0,23-04283,2558916518,7.946106150453439
0,23-04295,90455474,11.258376030478257
0,23-04296,90260855,46.51000722814307
0,23-04296,1792494869,4.523278483312095
0,23-04302,90375504,3.0810921721685394
0,23-04302,90767211,195.79928571877326
0,23-05098,90484180,6.70811452322287
0,23-05108,90330443,4.564324053809136
0,23-05134,90290185,178.65310156407014
0,23-05134,90290187,44.60422214361363
0,23-05134,2493197974,180.24239511813462
0,23-05134,3262602576,61.49884948482428
0,23-05134,6665383885,41.863004414461635
0,23-05134,8233346735,6.793979654637076
0,23-05212,90290140,6.44039092181204
0,23-05290,90650354,48.684541155823254
0,23-05290,8700949480,1.2668629664800273
0,23-05326,90290140,194.72556867532347
0,23-05326,90290142,79.84595111124409
0,23-06011,90442183,8.497121003935884
0,23-06011,4275362613,66.81755642722783
0,23-06011,10294447002,131.30943388255398
0,23-06257,90572344,3.1793870187243383
0,24-00045,975800929,150.68595526853525
0,24-00045,11363486485,17.69648668617976
0,24-00045,11363486486,53.47350000597509
0,24-00045,11363486487,81.03464005018833
0,24-00045,11363486488,102.25755814357235
0,24-00168,90291329,7.01015082438877
0,24-00168,90307114,62.97813723989531
0,24-00168,90359987,161.09594205834733
0,24-00168,1785610207,38.23379207048739
0,24-00305,90417709,0.8536663823603822
0,24-00488,90394263,23.967210273973674
0,24-00705,90337544,149.0388437725577
0,24-00705,90648401,14.269028050710638
0,24-00969,90401538,2.3065378517331285
0,24-01003,90302056,5.818530101104747
0,24-01226,7308918088,4.449359046789396
0,24-01226,7308918104,169.79484824283603
0,24-01381,90503250,4.593665469648491
0,24-01381,90567509,122.95433165047618
0,24-01381,90740167,181.03498307396637
0,24-01461,90290185,178.65310156407014
0,24-01461,90290187,44.60422214361363
0,24-01461,2493197974,180.24239511813462
