osmid,y,x,street_count,highway,ref,geometry
90529283,38.451293,-121.433201,3,,,POINT (-121.433201 38.451293)
90529297,38.451181,-121.430904,3,,,POINT (-121.430904 38.451181)
90529442,38.488202,-121.498955,3,,,POINT (-121.498955 38.488202)
90529459,38.487694,-121.50049,4,,,POINT (-121.50049 38.487694)
90529483,38.483982,-121.501103,3,,,POINT (-121.501103 38.483982)
90529491,38.4835,-121.50165,3,,,POINT (-121.50165 38.4835)
90529505,38.570789,-121.427783,3,,,POINT (-121.427783 38.570789)
90529512,38.570302,-121.429143,3,,,POINT (-121.429143 38.570302)
90529882,38.484749,-121.475527,3,,,POINT (-121.475527 38.484749)
90530006,38.65892,-121.504102,3,,,POINT (-121.504102 38.65892)
90530008,38.658096,-121.504087,1,turning_circle,,POINT (-121.504087 38.658096)
90530046,38.47433,-121.476973,3,,,POINT (-121.476973 38.47433)
90530047,38.474129,-121.4778,3,,,POINT (-121.4778 38.474129)
90530048,38.473928,-121.478636,3,,,POINT (-121.478636 38.473928)
90530308,38.645709,-121.455305,3,,,POINT (-121.455305 38.645709)
90530316,38.645599,-121.454776,1,turning_circle,,POINT (-121.454776 38.645599)
90530535,38.4884923,-121.5313208,1,turning_circle,,POINT (-121.5313208 38.4884923)
90531954,38.502695,-121.540831,3,,,POINT (-121.540831 38.502695)
90532085,38.6597571,-121.5218157,1,turning_circle,,POINT (-121.5218157 38.6597571)
90532121,38.498149,-121.504867,3,,,POINT (-121.504867 38.498149)
90532173,38.497248,-121.5027,3,,,POINT (-121.5027 38.497248)
90532183,38.496608,-121.503068,3,,,POINT (-121.503068 38.496608)
90532198,38.49482,-121.5032547,3,,,POINT (-121.5032547 38.49482)
90532208,38.4942362,-121.5034638,3,,,POINT (-121.5034638 38.4942362)
90532225,38.4937817,-121.5039595,3,,,POINT (-121.5039595 38.4937817)
90532252,38.4914003,-121.5053758,3,,,POINT (-121.5053758 38.4914003)
90532259,38.49062,-121.505408,3,,,POINT (-121.505408 38.49062)
90532262,38.489456,-121.505432,3,,,POINT (-121.505432 38.489456)
90532276,38.4868552,-121.50503,3,,,POINT (-121.50503 38.4868552)
90532296,38.4848452,-121.5041253,3,,,POINT (-121.5041253 38.4848452)
90532298,38.484721,-121.5037761,3,,,POINT (-121.5037761 38.484721)
90532304,38.484404,-121.502901,4,,,POINT (-121.502901 38.484404)
